feedId,descr,trim_audio
13736,"Blue Earth and Faribault Counties Sheriff, Police and EMS",False
13743,Brown County Public Safety,False
13764,Dane County Fire and EMS,False
13776,Perry County Fire and EMS,False
13799,"Macedonia, Northfield Village and Sagamore Hills Police, Fire / EMS",False
13883,Madison County Fire and EMS,False
13891,"Green County Sheriff / Fire, Monroe and Brodhead Police",False
13928,Marion County Public Safety,False
13931,Hockley County Public Safety,False
13938,New Albany Police and Fire,False
13951,PA Turnpike Police Harrisburg - East,True
13984,"Napa County Primary - Napa City Police, and Napa County Sheriff ",False
14000,Arequipa Volunteer Fire 2,False
14003,Bristol Fire and EMS Dispatch,False
14027,Geauga County Public Safety,False
14029,"Bakersfield Police, Fire and EMS",False
14086,Delaware County Fire and EMS,False
14111,Amarillo Police and Fire,False
14123,Country Fire Authority Regional Dispatch,False
14176,"Kokomo Police and Fire, Howard County Sheriff / Fire Dispatch",False
14178,Central Alarmas Bomberos Temuco,False
14215,Salem County Fire / EMS Digital,False
14233,Southbridge and Area Fire Departments,False
14279,Sonoma County Fire and CAL FIRE Dispatch - North West,False
14324,Northampton Fire,False
14332,Cowley County Fire,False
14388,Lebanon Fire Dispatch ,True
14405,Greenfield Fire,True
14408,Warren Fire and EMS Dispatch,False
14412,Chandler Volunteer Fire,False
14433,Winsted Area Ambulance Association,False
14439,Travis County Law Enforcement,False
14441,"Bedford County Fire, EMS and Law",False
14442,Southeast Missouri Counties Public Safety,False
14497,North Adams Ambulance,False
14518,Morristown Fire,False
14527,"Hamilton County Police, Fire and EMS Dispatch",False
14541,Hamilton County Fire,False
14542,Hamilton County EMS,False
14584,Downers Grove and Westmont Police/Fire,False
14589,Algona Police and Fire,False
14639,Essex Fire and Rescue,False
14640,Libby Volunteer Fire ,False
14672,Hand County Public Safety,True
14692,Aberdeen Fire and EMS Dispatch,False
14693,Franklin County Fire and EMS,True
14719,Golden Valley Fire and EMS,False
14744,Virginia Beach EMS,False
14783,First Medic Ambulance,False
14826,East Placer and Nevada Counties CAL FIRE NEU - Kings Beach Area,False
14843,Broadwater Volunteer Fire,False
14850,Racine and Kenosha Counties Fire Working Incidents,False
14852,Sheboygan County Fire and EMS,False
14863,Alpena Fire ,False
14874,Orange County Public Safety,True
14875,"Chandler Police and Fire, Phoenix Fire",False
14891,LaSalle County Fire and EMS,False
14893,Brookline Police / Fire,False
14920,La Salle County Sheriff and Fire Departments ,False
14940,Centerville Fire,False
14944,Killdeer Area Ambulance,False
14952,Orleans Fire,False
14993,Lawrence Fire,False
14994,Glover Ambulance,False
15048,Franklin-Bingham Fire Dispatch,False
15095,Kinney County Fire Rescue,False
15102,Philadelphia Police Dispatch - South,False
15129,Frederick County Fire - Digital,False
15192,Mandan Rural Fire,False
15195,Philadelphia Police Dispatch - Southwest,False
15208,"Mammoth Lakes Police / Fire, Mono County Sheriff, Fire and EMS Dispatch",False
15215,Williams Fire Protection Authority,False
15230,Scott County Emergency Services,False
15234,WestCom Fire and West Suburbs Police - Digital MARCS,False
15244,Plattsmouth Volunteer Fire,False
15256,Spurger Volunteer Fire,False
15277,Le Mars Fire and Rescue,False
15279,Hayti Fire,False
15294,Mercer County Fire,False
15309,Grosse Pointes and Harper Woods Police and Fire ,False
15325,Crookston Fire,False
15327,Rapides Parish Fire District 6,False
15332,Paterson Fire - West,False
15353,Monetta Fire Dispatch,False
15378,Ethan Fire,False
15386,Northern Illinois and Southern Wisconsin MABAS,False
15387,Three Rivers Fire Dispatch,False
15398,Ledbetter Volunteer Fire,False
15400,Paden City Volunteer Fire,False
15401,Minford Volunteer Fire,False
15402,River Vale Volunteer Ambulance,False
15415,Carteret Fire,False
15449,Lorena Police and Fire,False
15464,Wildwood Fire and EMS Dispatch,False
15482,Stanley Ambulance,False
15484,Rutherford EMS,False
15509,Middlesex County Fire and EMS - Northern,False
15516,Carlton Volunteer Fire,False
15517,"Carroll County Sheriff and Fire, Huntingdon Police, Fire, and PW",False
15520,Tacoma Police Dispatch - North,False
15521,Tacoma Police Dispatch - South,False
15541,East Brunswick Fire and EMS Paging - Low Band,False
15569,Groose lle Township Fire,False
15633,Spencerville Volunteer Fire,False
15645,Downs Fire,False
15660,Elmsford Fire,False
15676,Moorhead Fire,False
15686,Tri-Boro Fire and EMS Dispatch ,False
15688,Heber Springs Fire,False
15698,"Berrien County Law, Fire and Ambulance",False
15729,Livingston Fire,False
15736,Mansfield Fire,False
15747,Philadelphia Fire Dispatch - North,False
15751,New Town Fire,False
15783,Shenandoah County Fire and Rescue,False
15784,Salisbury Fire,False
15788,Brunswick and Brunswick Hills Police / Fire,False
15803,Lohrville Fire and Ambulance,False
15817,Sudan Fire and EMS,False
15824,McLean County Public Safety,False
15864,Port Blandford Fire,False
15868,Ponderosa Fire,False
15908,Topeka Police Dispatch - East and West,False
15934,Davie County Fire and EMS Dispatch,False
15944,Cypress County Fire Departments,False
15972,Stratford Fire Rescue,False
15986,Wilson Volunteer Fire,False
